Name,ID,Note
Dogecoin,dogecoin,Check if L1
Figure Heloc,figure-heloc,Check if L1
Cardano,cardano,Check if L1
Wrapped stETH,wrapped-steth,Check if L1
WhiteBIT Coin,whitebit,Check if L1
Wrapped Beacon ETH,wrapped-beacon-eth,Check if L1
Wrapped eETH,wrapped-eeth,Check if L1
USDS,usds,Check if L1
Monero,monero,Check if L1
Binance Bridged USDT (BNB Smart Chain),binance-bridged-usdt-bnb-smart-chain,Check if L1
LEO Token,leo-token,Check if L1
Stellar,stellar,Check if L1
WETH,weth,Check if L1
Ethena USDe,ethena-usde,Check if L1
Zcash,zcash,Check if L1
Litecoin,litecoin,Check if L1
World Liberty Financial,world-liberty-financial,Check if L1
Shiba Inu,shiba-inu,Check if L1
USDT0,usdt0,Check if L1
sUSDS,susds,Check if L1
Ethena Staked USDe,ethena-staked-usde,Check if L1
Toncoin,the-open-network,Check if L1
PayPal USD,paypal-usd,Check if L1
Uniswap,uniswap,Check if L1
Bitget Token,bitget-token,Check if L1
Tether Gold,tether-gold,Check if L1
Aave,aave,Check if L1
Bittensor,bittensor,Check if L1
Falcon USD,falcon-finance,Check if L1
OKB,okb,Check if L1
Internet Computer,internet-computer,Check if L1
PAX Gold,pax-gold,Check if L1
Jito Staked SOL,jito-staked-sol,Check if L1
Binance-Peg WETH,binance-peg-weth,Check if L1
BlackRock USD Institutional Digital Liquidity Fund,blackrock-usd-institutional-digital-liquidity-fund,Check if L1
HTX DAO,htx-dao,Check if L1
Global Dollar,global-dollar,Check if L1
Circle USYC,hashnote-usyc,Check if L1
Kelp DAO Restaked ETH,kelp-dao-restaked-eth,Check if L1
Pi Network,pi-network,Check if L1
Jupiter Perpetuals Liquidity Provider Token,jupiter-perpetuals-liquidity-provider-token,Check if L1
Wrapped SOL,wrapped-solana,Check if L1
Aster,aster-2,Check if L1
Pump.fun,pump-fun,Check if L1
KuCoin,kucoin-shares,Check if L1
Binance Staked SOL,binance-staked-sol,Check if L1
Ripple USD,ripple-usd,Check if L1
Ethena,ethena,Check if L1
POL (ex-MATIC),polygon-ecosystem-token,Check if L1
BFUSD,bfusd,Check if L1
Wrapped BNB,wbnb,Check if L1
Worldcoin,worldcoin-wld,Check if L1
syrupUSDC,syrupusdc,Check if L1
Rocket Pool ETH,rocket-pool-eth,Check if L1
USDD,usdd,Check if L1
MYX Finance,myx-finance,Check if L1
Render,render-token,Check if L1
Function FBTC,ignition-fbtc,Check if L1
Official Trump,official-trump,Check if L1
